日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB中位数,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-04-27,=1508.3800,=1554.7300,=5355202284178.8486,=4367945127408,=2476039124610.4600,=6.0575,=0.6502,=7.5339,=5.5661,=4.6007
2026-04-24,=1453.6900,=1498.3500,=5173387265130.5801,=4225530488318,=2383675719221.3599,=5.7634,=0.5552,=7.5339,=5.5642,=4.6007
2026-04-23,=1432.5900,=1476.6100,=5074026349051.2402,=4158820146906,=2345396563056.1899,=5.6154,=0.5162,=7.5339,=5.5610,=4.6007
2026-04-22,=1451.1400,=1495.7300,=5123906426222.5293,=4200544960356,=2366119444269.8501,=6.2553,=0.6868,=7.5399,=5.5578,=4.6005
2026-04-21,=1426.6800,=1470.5200,=5051364344322.6592,=4134063042892,=2324886437256.3003,=6.1498,=0.6736,=7.5399,=5.5573,=4.6005
2026-04-20,=1450.5200,=1495.0900,=5134655295268.2900,=4207932776032,=2363826654583.0303,=6.2455,=0.6842,=7.5399,=5.5567,=4.6005
2026-04-17,=1423.3500,=1467.0900,=5040762688269.5293,=4135946379590,=2320785349183.6396,=6.1225,=0.6710,=7.5399,=5.5560,=4.6005
2026-04-16,=1422.2300,=1465.9300,=5021064781481.3301,=4122222571932,=2319306748973.7388,=6.0244,=0.6448,=7.5399,=5.5554,=4.6005
2026-04-15,=1406.3200,=1449.5400,=4968197275598.9199,=4073023071383,=2291779460640.3604,=5.8215,=0.5739,=7.5566,=5.5546,=4.6005
2026-04-14,=1405.0700,=1448.2500,=4943538319083.8213,=4061340054365,=2288867802572.8403,=5.8473,=0.5859,=7.5566,=5.5538,=4.6005
2026-04-13,=1375.2900,=1417.5500,=4852046509759.7197,=3977718864018,=2239983636023.3398,=5.7391,=0.5516,=7.5566,=5.5533,=4.6005
2026-04-10,=1364.4900,=1406.4200,=4808788446825.8701,=3933141220919,=2220514758030.2104,=5.6416,=0.5260,=7.5566,=5.5527,=4.6005
2026-04-09,=1343.9500,=1385.2400,=4742783812466.8008,=3875243132294,=2184453589468.6504,=5.5931,=0.5112,=7.5566,=5.5517,=4.6005
2026-04-08,=1352.6900,=1394.2500,=4779203709370.9697,=3900473445056,=2197337512791.7100,=5.7222,=0.5485,=7.5652,=5.5508,=4.5952
2026-04-07,=1274.0100,=1313.1600,=4506261958094.2695,=3679797663994,=2070184619475.0496,=5.3667,=0.4403,=7.5652,=5.5500,=4.5952
2026-04-03,=1256.2100,=1294.8100,=4427611486989.6201,=3627997877380,=2039444979943.9304,=5.3594,=0.4362,=7.5652,=5.5508,=4.5952
