date,hs300_pe,hs300_pb,zz500_pe,zz500_pb,kc50_pe,bond_10y_yield,hs300_erp,hs300_pe_quantile,hs300_pb_quantile,zz500_pe_quantile,zz500_pb_quantile
2021-07-08,13.95,1.69,19.09,1.99,,2.983,4.1854587813620086,0.7643824027072758,0.8917089678510999,0.17893401015228427,0.3739424703891709
2021-07-09,13.89,1.69,19.21,2.01,,3.0105,4.188924046076314,0.7419627749576988,0.8912859560067682,0.18908629441624367,0.39509306260575294
2021-07-12,14.01,1.7,19.46,2.03,,2.9431,4.194658743754461,0.7842639593908629,0.9158206429780034,0.21108291032148901,0.4137055837563452
2021-07-13,14.03,1.72,19.63,2.05,,2.9256,4.201983749109052,0.7897631133671743,0.938663282571912,0.23434856175972926,0.4323181049069374
2021-07-14,13.87,1.7,19.49,2.03,,2.9356,4.2742053352559495,0.7330795262267343,0.9145516074450084,0.2140439932318105,0.41412859560067683
2021-07-15,14.01,1.72,19.64,2.04,,2.9557,4.182058743754461,0.7829949238578681,0.9382402707275804,0.23688663282571912,0.42385786802030456
2021-07-16,13.87,1.7,19.6,2.04,,2.9432,4.266605335255949,0.7318104906937394,0.9132825719120136,0.23011844331641285,0.4242808798646362
2021-07-19,13.89,1.71,19.49,2.03,,2.9483,4.251124046076313,0.7390016920473773,0.9285109983079526,0.21446700507614214,0.41455160744500846
2021-07-20,13.87,1.7,19.5,2.03,,2.9258,4.28400533525595,0.7305414551607445,0.9120135363790186,0.2182741116751269,0.4149746192893401
2021-07-21,13.95,1.71,19.72,2.06,,2.9184,4.250058781362008,0.7614213197969543,0.928087986463621,0.24576988155668358,0.4479695431472081
2021-07-22,13.99,1.73,19.85,2.07,,2.9284,4.219562830593281,0.7728426395939086,0.9454314720812182,0.26057529610829105,0.4606598984771574
2021-07-23,13.87,1.71,19.72,2.05,,2.9134,4.296405335255949,0.7284263959390863,0.926818950930626,0.24619289340101522,0.4369712351945855
